step, strain, right, left, 
54400, -0.008, -1.46548, 1.46548, 
54500, -0.008, -2.40219, 2.40219, 
54600, -0.008, -5.40199, 5.40199, 
54700, -0.008, -0.400221, 0.400221, 
54800, -0.008, -1.33178, 1.33178, 
54900, -0.008, -4.72085, 4.72085, 
55000, -0.008, -2.21679, 2.21679, 
55100, -0.008, -5.66797, 5.66797, 
55200, -0.008, -1.96592, 1.96592, 
55300, -0.008, -1.39832, 1.39832, 
55400, -0.008, -4.11111, 4.11111, 
55500, -0.008, -1.01512, 1.01512, 
55600, -0.008, -1.27246, 1.27246, 
55700, -0.008, -1.03655, 1.03655, 
55800, -0.008, -0.154784, 0.154784, 
55900, -0.008, -1.4491, 1.4491, 
56000, -0.008, -3.359, 3.359, 
56100, -0.008, 0.37316, -0.37316, 
56200, -0.008, -3.08139, 3.08139, 
56300, -0.008, -3.55418, 3.55418, 
56400, -0.008, -3.13738, 3.13738, 
56500, -0.008, -2.10765, 2.10765, 
56600, -0.008, -1.49721, 1.49721, 
56700, -0.008, 0.839159, -0.839159, 
56800, -0.008, -3.57552, 3.57552, 
56900, -0.008, -4.35195, 4.35195, 
57000, -0.008, -0.931989, 0.931989, 
57100, -0.008, -3.17234, 3.17234, 
57200, -0.008, -3.68572, 3.68572, 
57300, -0.008, -2.03748, 2.03748, 
57400, -0.008, -3.20882, 3.20882, 
57500, -0.008, -2.17447, 2.17447, 
57600, -0.008, -2.16448, 2.16448, 
57700, -0.008, -3.20469, 3.20469, 
57800, -0.008, -4.62705, 4.62705, 
57900, -0.008, -3.59727, 3.59727, 
58000, -0.008, -2.53578, 2.53578, 
58100, -0.008, 0.0898148, -0.0898148, 
58200, -0.008, -5.60034, 5.60034, 
58300, -0.008, -0.11199, 0.11199, 
58400, -0.008, -2.83796, 2.83796, 
58500, -0.008, -3.58627, 3.58627, 
58600, -0.008, -2.41338, 2.41338, 
58700, -0.008, -4.43429, 4.43429, 
58800, -0.008, -1.47114, 1.47114, 
58900, -0.008, -3.76191, 3.76191, 
59000, -0.008, 0.328305, -0.328305, 
59100, -0.008, -4.41273, 4.41273, 
59200, -0.008, -2.44276, 2.44276, 
59300, -0.008, -0.582979, 0.582979, 
59400, -0.008, -1.54166, 1.54166, 
59500, -0.008, -1.73224, 1.73224, 
59600, -0.008, -1.25758, 1.25758, 
59700, -0.008, -2.65844, 2.65844, 
59800, -0.008, 0.778926, -0.778926, 
59900, -0.008, -2.74315, 2.74315, 
60000, -0.01, -0.463198, 0.463198, 
60100, -0.01, -5.24761, 5.24761, 
60200, -0.01, 0.472514, -0.472514, 
60300, -0.01, -3.00589, 3.00589, 
60400, -0.01, -0.598761, 0.598761, 
60500, -0.01, -3.97281, 3.97281, 
60600, -0.01, -0.798099, 0.798099, 
60700, -0.01, 0.108319, -0.108319, 
60800, -0.01, -4.21044, 4.21044, 
60900, -0.01, -4.89269, 4.89269, 
61000, -0.01, -1.64709, 1.64709, 
61100, -0.01, -0.183433, 0.183433, 
61200, -0.01, -2.93957, 2.93957, 
61300, -0.01, -1.05359, 1.05359, 
61400, -0.01, -3.81734, 3.81734, 
61500, -0.01, -4.46143, 4.46143, 
61600, -0.01, 0.462955, -0.462955, 
61700, -0.01, -4.28523, 4.28523, 
61800, -0.01, -2.2135, 2.2135, 
61900, -0.01, -2.23581, 2.23581, 
62000, -0.01, -2.0775, 2.0775, 
62100, -0.01, -0.0529969, 0.0529969, 
62200, -0.01, -1.90487, 1.90487, 
62300, -0.01, -2.78895, 2.78895, 
62400, -0.01, -2.97679, 2.97679, 
62500, -0.01, -1.2687, 1.2687, 
62600, -0.01, -1.94184, 1.94184, 
62700, -0.01, -3.22675, 3.22675, 
62800, -0.01, -2.95575, 2.95575, 
62900, -0.01, -0.183852, 0.183852, 
63000, -0.01, -0.648094, 0.648094, 
63100, -0.01, -2.20921, 2.20921, 
63200, -0.01, -1.1889, 1.1889, 
63300, -0.01, -0.97253, 0.97253, 
63400, -0.01, -2.85745, 2.85745, 
63500, -0.01, -0.574819, 0.574819, 
63600, -0.01, -2.79949, 2.79949, 
63700, -0.01, -0.837372, 0.837372, 
63800, -0.01, -0.417107, 0.417107, 
63900, -0.01, -4.11576, 4.11576, 
64000, -0.01, -2.16241, 2.16241, 
64100, -0.01, -1.07813, 1.07813, 
64200, -0.01, -1.2215, 1.2215, 
64300, -0.01, -2.01012, 2.01012, 
64400, -0.01, -4.95821, 4.95821, 
64500, -0.01, -0.580452, 0.580452, 
64600, -0.01, -5.77374, 5.77374, 
64700, -0.01, -3.97125, 3.97125, 
64800, -0.01, 0.651382, -0.651382, 
64900, -0.01, -1.43887, 1.43887, 
65000, -0.01, -2.85612, 2.85612, 
65100, -0.01, -3.43334, 3.43334, 
